Crop.Type,Crop.Class,DM.Y,Slope,Intercept,Planting.Cycle,Cycle.Years,R.BGR.AGB,f.CR.B,f.CR.RG,C.F,N.AGR,N.BGR,f.C.SA,f.C.HI,f.C.LI,f.C.M,f.C.NT,f.C.RT
Flooded Rice,Flooded.Rice,0.89,0.95,2.46,Annual,1,0.16,0,0,0.8,0.007,0.009,0,0.5,0,0.4,0.25,0.25
Maize,Grain,0.87,1.03,0.61,Annual,1,0.22,0,0,0.8,0.006,0.007,0,0.6,0,0.4,0.25,0.25
Cassava,Root.Tuber,0.22,0.1,1.06,Annual,1,0.2,0,0,0.8,0.019,0.014,0,0.6,0,0.4,0.25,0.25
Dry Beans,Legume,0.9,0.36,0.68,Annual,1,0.19,0,0,0.8,0.01,0.01,0,0.5,0,0.2,0.25,0.25
Sweet Potatoes,Root.Tuber,0.22,0.1,1.06,Annual,1,0.2,0,0,0.8,0.019,0.014,0,0,1,0,0.25,0.25
Groundnuts,Oilseed,0.94,1.07,1.54,Annual,1,0.19,0,0,0.8,0.016,0.008,0,0,1,0,0.25,0.25
Sorghum,Grain,0.89,0.88,1.33,Annual,1,0.22,0,0,0.8,0.007,0.009,0,0.5,0,0.2,0.25,0.25
Sunflower,Oilseed,0.91,0.93,1.35,Annual,1,0.19,0,0,0.8,0.008,0.008,0,0.5,0,0.2,0.25,0.25
Seasame,Oilseed,0.91,0.93,1.35,Annual,1,0.19,0,0,0.8,0.008,0.008,0,0.5,0,0.2,0.25,0.25
Millet,Grain,0.9,1.43,0.14,Annual,1,0.22,0,0,0.8,0.007,0.009,0,0.5,0,0.2,0.25,0.25
Vegetables,Vegetable,0.94,1.07,1.54,Annual,1,0.2,0,0,0.8,0.016,0.014,0,0.5,0,0.2,0.25,0.25
